,device,endlatitude,endlocaltime,endlongitude,filedate,filetimeutc,numbsmtx,numinforms,numintersectionencounters,numnormalbsmrx,numwarnings,startlatitude,startlocaltime,startlongitude,utctime,uuid,tripid,tripdistance,avgspeed,utctime(datetime),tripdistance_miles,avgspeed_mph,endlocaltime(datetime),startlocaltime(datetime)
0,101228,40.267269306,80818385,-83.374783913,20200626,221119,10879.0,0.0,10.0,639,13,40.240366026,79879795.0,-83.390091865,1593209479199,000eeb6d7338012c611d53bd738029e8,48ceba90ca67e820d7c385c8eec30d80,3258.871721645,5.733556612,2020-06-26 22:11:19.199,2.024968380550275,12.825596899998189,1970-01-01 22:26:58.385,1970-01-01 22:11:19.795
1,103540,40.295117334,45760525,-83.506668743,20200608,115335,32797.0,0.0,1.0,0,0,40.188876388,42917865.0,-82.75724648,1591617215658,00244d3c3cde604807b2e8ca612c3f7d,3b70ac1ee5ff921075c894004db488b6,64851.351801042,28.808664297,2020-06-08 11:53:35.658,40.29674931996527,64.44312675440828,1970-01-01 12:42:40.525,1970-01-01 11:55:17.865
2,100943,40.071973174,7484165,-83.149719274,20200626,14230,14578.0,0.0,0.0,0,0,39.985660405,6417559.0,-83.02429633,1593135750053,003c21fe61a65793f4a70a5b2abf278d,e0c0c7f5e984f90b485978e58e0d2bbe,14368.83382428,21.22919441,2020-06-26 01:42:30.053,8.928376642226688,47.48834073505,1970-01-01 02:04:44.165,1970-01-01 01:46:57.559
3,101795,40.099161962,64137345,-83.120775552,20200621,173039,12312.0,0.0,0.0,0,0,40.25550031,63039737.0,-83.20642629,1592760639138,005c81e8fc47e3f3eda32979a80d9253,a6e404cc9fab97bb49e73952e19cf990,18830.046268632,22.812259396,2020-06-21 17:30:39.138,11.700444679986134,51.029555159346906,1970-01-01 17:48:57.345,1970-01-01 17:30:39.737
4,102645,40.277438747,60135401,-83.511232212,20200602,163928,1575.0,0.0,0.0,0,0,40.276126979,59969581.0,-83.507510268,1591115968982,00602c5e6355111b60e88524ef54835a,7adbbf10a73f8e679d4232565be01421,348.448882717,3.351790416,2020-06-02 16:39:28.982,0.216516030702745,7.497739305289211,1970-01-01 16:42:15.401,1970-01-01 16:39:29.581
5,102752,40.153781142,77590682,-83.23898055,20200619,212237,7639.0,0.0,0.0,0,0,40.103753954,76958021.0,-83.163343244,1592601757521,0070659c1d88d6b948e849a1dc3cb2b8,6f46f58365bdcfde1ea15806f438271d,8509.877259737,16.48024413,2020-06-19 21:22:37.521,5.28779094276004,36.86524479108803,1970-01-01 21:33:10.682,1970-01-01 21:22:38.021
6,100943,40.065166782,4063278,-83.150151377,20200629,10601,748.0,0.0,0.0,0,0,40.103753954,3961041.0,-83.163343244,1593392761041,0099daa0ed8859b64f09a79df032899a,5896a9bdb485df88e87e1ac8e77e2a1d,4429.838324322,8.818224812,2020-06-29 01:06:01.041,2.752573069422285,19.72580101076611,1970-01-01 01:07:43.278,1970-01-01 01:06:01.041
7,100810,40.254276438,73715259,-83.373112921,20200618,202133,5984.0,0.0,0.0,0,0,40.227185721,73294017.0,-83.370089469,1592511693418,00b4316faf68b61bea5e8a423ad89314,522c57c2b41e975c0b5b2fc42b7c10a2,3019.115050346,7.807429554,2020-06-18 20:21:33.418,1.8759905379485444,17.464717113834723,1970-01-01 20:28:35.259,1970-01-01 20:21:34.017
8,100328,40.29511855,43012098,-83.506686713,20200617,112601,21182.0,0.0,0.0,195,0,40.06902062,41390533.0,-83.159728979,1592393161262,00c73d35a1cafeab277ee2f1540a3cef,5ca00f75cb6cf2b5a26f400b35449b1d,38774.185130677,28.042687876,2020-06-17 11:26:01.262,24.093154188833896,62.72968682951279,1970-01-01 11:56:52.098,1970-01-01 11:29:50.533
9,101576,45.997486019,6105216,-83.853639358,20200629,13348,6592.0,0.0,0.0,0,0,45.981828818,5629373.0,-83.855936758,1593394428775,00d21d7bba13fba7dcfca157342d3c7c,b4151bd261b2686e0b3ed979dd2b964b,1749.394369764,5.804186043,2020-06-29 01:33:48.775,1.0870229289346265,12.983590388609832,1970-01-01 01:41:45.216,1970-01-01 01:33:49.373
