,id,driver_id,start_ts,end_ts,vehicle_id,ambulatory_riders,handicapped_riders,total_riders,status,trip_start_lat,trip_start_lon,trip_end_lat,trip_end_lon,max_speed_mph,avg_speed_mph,trip_distance_miles
0,138922,11.0,2022-02-18 20:31:50,2022-02-18 22:12:37,42,3,1,4,Completed,39.87597095,-82.86650317,40.11891582,-83.07381166,72.431,29.759931937,16.76
1,138920,33.0,2022-02-18 20:51:44,2022-02-18 21:39:41,41,2,0,2,Completed,39.98404064,-82.91713735,39.98404064,-82.91713735,0.0,0.0,0.0
2,138913,23.0,2022-02-18 13:30:02,2022-02-18 15:42:53,72,2,1,3,Completed,40.08766334,-82.99696623,39.97117998,-82.96808033,80.529,34.935206583,8.04
3,138912,11.0,2022-02-18 13:16:18,2022-02-18 14:56:27,42,3,1,4,Completed,40.08779322,-82.97564044,39.97118089,-82.96811446,76.391,27.089560876,8.05
4,138909,24.0,2022-02-18 11:02:26,2022-02-18 13:06:47,71,5,0,5,Completed,39.98407775,-82.91717866,39.97117506,-82.96804127,65.34,26.099655108,0.89
5,138906,33.0,2022-02-18 11:40:36,2022-02-18 13:17:16,41,4,1,5,Completed,39.98405493,-82.91723378,39.97118143,-82.96802506,57.69,22.08203096,0.89
6,138904,11.0,2022-02-18 11:11:57,2022-02-18 13:14:37,42,5,0,5,Completed,39.98544535,-82.90254889,40.08791203,-82.97223544,69.904,32.478185556,7.07
7,138847,21.0,2022-02-23 11:16:53,2022-02-23 13:47:37,85,7,0,7,Completed,39.90278092,-83.4321235,40.02737824,-82.93924706,76.569,43.875155149,8.6
8,138844,2190.0,2022-02-24 20:02:00,2022-02-24 21:42:39,46,7,0,7,Completed,40.05805832,-82.95923987,39.94309494,-83.02247122,61.538,21.883210526,7.93
9,138827,45.0,2022-02-22 01:00:59,2022-02-22 01:58:07,42,0,1,1,Completed,40.14622176,-83.08702718,40.1041938,-83.10247427,45.745,22.654920863,2.9
10,138807,15392.0,2022-02-24 14:18:00,2022-02-24 14:36:47,7,1,0,1,Completed,40.07209324,-83.12459232,40.10112384,-83.16158505,70.016,28.514506849,2.0
11,138796,15392.0,2022-02-22 17:23:33,2022-02-22 17:51:44,7,1,0,1,Completed,40.07221652,-83.12455517,40.10360754,-83.14139915,49.458,24.895792135,2.17
12,138793,15392.0,2022-02-22 16:09:15,2022-02-22 16:16:00,7,1,0,1,Completed,40.1038037,-83.15756359,40.1087594,-83.16969562,40.04,18.349359375,0.34
13,138787,15392.0,2022-02-25 14:46:39,2022-02-25 15:21:35,7,1,0,1,Completed,40.07211735,-83.12452271,40.09326099,-83.14717789,47.735,23.657101852,1.46
14,138788,15392.0,2022-02-25 18:43:41,2022-02-25 19:06:01,7,1,0,1,Completed,40.02805059,-83.09057762,40.14351839,-83.12741015,48.876,31.941131313,7.97
15,138789,15392.0,2022-02-25 21:24:03,2022-02-25 21:39:24,7,1,0,1,Completed,40.07217943,-83.12446251,40.07998771,-83.09271381,47.802,23.606330935,0.54
16,138782,15392.0,2022-02-26 17:17:13,2022-02-26 17:41:00,7,1,0,1,Completed,40.07207445,-83.12452642,40.12077605,-83.15836115,67.532,24.45901227,3.36
17,138778,6.0,2022-02-23 19:57:52,2022-02-23 20:34:13,43,1,1,2,Completed,41.61548098,-83.67343464,41.61548098,-83.67343464,0.0,0.0,0.0
18,138780,16576.0,2022-02-23 23:47:28,2022-02-24 00:32:47,253,1,0,1,Completed,40.09044689,-83.10717081,40.1045654,-83.09070399,38.318,15.793816456,0.97
19,138773,15392.0,2022-02-23 10:15:03,2022-02-23 10:25:28,7,1,0,1,Completed,40.10947757,-83.11452493,40.09850445,-83.10001838,53.26,38.289171171,0.76
20,138767,15392.0,2022-02-24 10:09:32,2022-02-24 10:22:49,7,1,0,1,Completed,40.1123177,-83.09035361,40.09851204,-83.09999555,51.606,36.847882759,0.95
21,138762,15392.0,2022-02-22 15:39:02,2022-02-22 16:08:54,7,1,0,1,Completed,40.0719873,-83.12500769,40.10380071,-83.15759598,65.698,33.298809028,2.19
22,138763,15392.0,2022-02-22 18:42:41,2022-02-22 19:03:59,7,1,0,1,Completed,40.07213432,-83.12449763,40.14356007,-83.12741238,52.276,25.968489247,4.93
23,138759,15392.0,2022-02-22 10:07:10,2022-02-22 10:22:30,7,1,0,1,Completed,40.11085912,-83.09066636,40.09852182,-83.10002283,49.077,33.117308642,0.85
24,138757,16576.0,2022-02-21 22:31:52,2022-02-21 23:20:31,253,1,0,1,Completed,40.10347006,-83.16085184,40.12153052,-83.09213579,69.345,22.83116763,1.25
25,138758,16576.0,2022-02-21 23:21:20,2022-02-22 00:25:12,253,1,0,1,Completed,40.12153604,-83.09213848,40.06551911,-83.09264142,71.402,29.504338583,3.86
26,138732,15392.0,2022-02-18 15:18:29,2022-02-18 15:36:04,7,1,0,1,Completed,40.0932867,-83.1472176,40.088392,-83.14400928,46.64,24.637971014,0.34
27,138733,15392.0,2022-02-18 15:43:10,2022-02-18 16:13:09,7,1,0,1,Completed,40.08853572,-83.14380347,40.09430846,-83.12154262,45.745,18.515814159,0.4
28,138725,16576.0,2022-02-18 04:02:06,2022-02-18 05:18:26,253,13,0,13,Completed,39.83917963,-83.00147923,40.12082246,-83.09426446,75.272,44.635415254,19.43
29,138712,44.0,2022-02-19 10:05:05,2022-02-19 10:33:10,46,11,0,11,Completed,40.00983855,-82.94072879,40.09290966,-83.12569243,77.442,55.377417323,5.73
30,138709,44.0,2022-02-18 19:34:47,2022-02-18 20:45:19,55,11,0,11,Completed,40.08546583,-82.96511046,40.08546583,-82.96511046,0.0,0.0,0.0
31,138596,16576.0,2022-02-17 20:38:18,2022-02-17 22:31:59,83,15,0,15,Completed,39.98390322,-82.917165,39.98390322,-82.917165,0.0,0.0,0.0
32,138586,15715.0,2022-02-17 11:23:44,2022-02-17 12:39:50,81,13,0,13,Completed,39.98422418,-82.91737275,40.06284679,-82.97138729,62.723,38.326172087,5.42
33,138550,15392.0,2022-02-20 10:04:11,2022-02-20 10:16:33,7,1,0,1,Completed,40.11415298,-83.09586007,40.09844407,-83.10001252,51.426,38.133075188,1.08
34,138527,15392.0,2022-02-19 12:59:45,2022-02-19 13:23:38,7,1,0,1,Completed,40.10481443,-83.09038774,40.1040884,-83.15709895,74.557,28.377490066,0.05
35,138528,2167.0,2022-02-19 18:56:58,2022-02-19 19:36:12,55,1,0,1,Completed,40.08543484,-82.9651522,40.14388554,-83.12786924,74.31,37.166346154,4.03
36,138529,2167.0,2022-02-19 20:41:58,2022-02-19 21:14:33,55,1,0,1,Completed,40.07444476,-83.09750728,40.11848296,-83.08468788,69.635,31.401072034,3.04
37,138521,45.0,2022-02-22 02:48:11,2022-02-22 03:45:34,5,1,0,1,Completed,39.99091208,-82.93677253,39.97422911,-82.48910722,81.402,48.740738095,1.15
38,138520,15715.0,2022-02-21 10:48:07,2022-02-21 12:44:46,81,1,0,1,Completed,39.83574686,-82.96261377,40.14992341,-82.6859829,68.137,40.697415114,21.68
39,138519,45.0,2022-02-23 02:30:44,2022-02-23 03:40:54,42,1,0,1,Completed,39.98418709,-82.91737139,39.98418709,-82.91737139,0.0,0.0,0.0
40,138517,45.0,2022-02-24 02:41:11,2022-02-24 03:44:03,5,1,0,1,Completed,40.01584906,-82.94996401,39.97419202,-82.48903257,74.444,43.320520186,2.87
41,138516,45.0,2022-02-23 11:31:31,2022-02-23 12:43:07,5,1,0,1,Completed,40.00857838,-82.94810822,40.14994122,-82.68601147,82.698,53.046212121,9.75
42,138514,45.0,2022-02-24 11:34:22,2022-02-24 12:49:14,5,1,0,1,Completed,40.01034506,-82.94798129,40.14991962,-82.68601347,86.882,51.676784062,9.63
43,138512,45.0,2022-02-25 11:29:29,2022-02-25 12:40:42,5,1,0,1,Completed,40.01436442,-82.94811866,40.14988509,-82.6859887,86.547,53.484973369,9.35
44,138665,2167.0,2022-02-17 03:02:14,2022-02-17 03:41:38,55,14,0,14,Completed,40.05686781,-82.90140115,40.09289977,-83.12569761,76.905,57.320318584,2.49
45,138511,16576.0,2022-02-28 02:16:15,2022-02-28 03:32:56,253,1,0,1,Completed,39.94240318,-82.88922324,39.97420997,-82.48905276,78.605,52.411658046,2.19
46,138510,16576.0,2022-03-01 02:05:46,2022-03-01 03:38:11,253,1,0,1,Completed,40.08951085,-83.09141759,39.97421728,-82.48906786,75.317,50.200440058,7.95
47,138508,16576.0,2022-02-21 02:17:53,2022-02-21 03:34:47,253,1,0,1,Completed,39.94247212,-82.88922388,39.97417905,-82.48902107,84.757,54.110101796,2.19
48,138484,15392.0,2022-02-17 13:12:58,2022-02-17 13:56:54,7,1,0,1,Completed,40.0720357,-83.12459183,40.09045737,-83.10702798,47.109,20.393542955,1.27
49,138481,16576.0,2022-02-18 01:48:46,2022-02-18 02:32:51,253,1,0,1,Completed,40.10268528,-83.15879496,40.11851472,-83.08471435,61.112,25.090197368,1.09
50,138479,45.0,2022-02-17 21:24:31,2022-02-17 22:38:59,5,1,0,1,Completed,40.00319304,-83.17996722,40.11793452,-83.09008167,53.35,23.288798729,7.92
51,138462,23.0,2022-02-17 20:25:13,2022-02-17 21:37:31,72,2,0,2,Completed,39.90507196,-82.96208026,39.94574944,-83.13670054,55.386,21.755695733,2.81
52,138458,24.0,2022-02-17 18:44:00,2022-02-17 20:15:32,71,4,0,4,Completed,39.98401706,-82.91697904,40.01281085,-82.85027016,62.723,29.152401934,1.99
53,138457,11.0,2022-02-17 18:40:38,2022-02-17 19:34:17,42,0,1,1,Completed,39.99144084,-82.98530719,39.87669906,-82.86694895,70.888,48.015444444,7.92
54,138455,2167.0,2022-02-19 11:53:01,2022-02-19 12:41:46,253,8,0,8,Completed,39.94252824,-82.88923083,39.94252824,-82.88923083,0.0,0.0,0.0
55,138454,2167.0,2022-02-19 10:13:37,2022-02-19 11:14:55,253,13,0,13,Completed,39.94252824,-82.88923083,39.94252824,-82.88923083,0.0,0.0,0.0
56,138453,2167.0,2022-02-20 03:16:06,2022-02-20 04:52:06,55,11,0,11,Completed,40.08533122,-82.9651161,40.05755319,-82.96101389,76.458,55.747192308,1.92
57,138451,16576.0,2022-02-19 17:30:55,2022-02-19 18:59:48,253,11,0,11,Completed,39.94468889,-82.8889932,39.89495849,-83.4219431,86.277,50.426357759,3.43
58,138450,44.0,2022-02-19 11:56:21,2022-02-19 12:35:52,46,14,0,14,Completed,39.89531431,-83.42124141,40.09289686,-83.1256642,81.983,58.770816817,13.63
59,138443,23.0,2022-02-17 11:33:31,2022-02-17 13:24:17,72,1,1,2,Completed,39.98409666,-82.91706931,40.08788747,-82.97218098,72.969,32.971507622,7.16
60,138442,24.0,2022-02-17 11:21:54,2022-02-17 13:11:12,71,4,0,4,Completed,39.98416936,-82.91696451,39.97118442,-82.96796924,59.927,26.590042746,0.9
61,138435,2733.0,2022-02-19 02:01:44,2022-02-19 03:07:22,46,14,0,14,Completed,40.00984126,-82.94074181,39.97795112,-83.16263736,82.52,48.385897436,2.2
