,id,scheduled_ts,pickup_ts,dropoff_ts,requested_ts,special_assistance,organization_id,ride_type,status,estimated_miles,fare,discount,route_id
18107,624338,2022-01-05 13:30:00,2022-01-05 13:18:20,2022-01-05 13:37:21,2021-08-26 15:03:56,False,96,Arrive By,Completed,4.9,5.44,1.09,125858
18032,637222,2022-01-11 13:30:00,2022-01-11 13:13:43,2022-01-11 13:36:39,2021-09-03 14:04:04,False,96,Arrive By,Completed,4.0,5.44,1.09,125876
18085,661243,2022-01-11 20:30:00,2022-01-11 20:51:29,2022-01-11 21:00:34,2021-10-31 16:06:25,False,96,Ready By,Completed,1.0,5.44,1.09,125877
18079,661094,2022-01-11 13:30:00,2022-01-11 13:21:34,2022-01-11 13:30:35,2021-10-31 16:06:22,False,96,Arrive By,Completed,1.0,5.44,1.09,125878
18054,637409,2022-01-11 20:30:00,2022-01-11 20:36:32,2022-01-11 20:59:04,2021-09-03 14:04:07,False,96,Ready By,Completed,4.0,5.44,1.09,125879
18015,625126,2022-01-21 13:30:00,2022-01-21 12:50:57,2022-01-21 13:09:38,2021-08-26 15:05:27,False,96,Arrive By,Completed,1.9,5.44,1.09,125888
18000,625125,2022-01-20 13:30:00,2022-01-20 13:15:05,2022-01-20 13:29:55,2021-08-26 15:05:27,False,96,Arrive By,Completed,1.9,5.44,1.09,125894
17973,625319,2022-01-20 20:30:00,2022-01-20 20:46:23,2022-01-20 21:26:27,2021-08-26 15:05:31,False,96,Ready By,Completed,1.9,5.44,1.09,125897
17884,637228,2022-01-19 13:30:00,2022-01-19 13:09:37,2022-01-19 13:40:34,2021-09-03 14:04:04,False,96,Arrive By,Completed,4.0,5.44,1.09,125900
61416,637415,2022-01-19 20:30:00,2022-01-19 20:45:31,2022-01-19 21:08:12,2021-09-03 14:04:07,False,96,Ready By,Completed,4.0,5.44,1.09,125903
17869,637227,2022-01-18 13:30:00,2022-01-18 13:10:48,2022-01-18 13:42:45,2021-09-03 14:04:04,False,96,Arrive By,Completed,4.0,5.44,1.09,125906
17851,637414,2022-01-18 20:30:00,2022-01-18 20:38:35,2022-01-18 21:29:34,2021-09-03 14:04:07,False,96,Ready By,Completed,4.0,5.44,1.09,125909
17950,637225,2022-01-14 13:30:00,2022-01-14 13:12:21,2022-01-14 13:40:01,2021-09-03 14:04:04,False,96,Arrive By,Completed,4.0,5.44,1.09,125916
17936,661246,2022-01-14 20:30:00,2022-01-14 19:25:46,2022-01-14 19:29:02,2021-10-31 16:06:25,False,96,Ready By,Completed,1.0,5.44,1.09,125917
17932,661097,2022-01-14 13:30:00,2022-01-14 13:28:11,2022-01-14 13:42:45,2021-10-31 16:06:22,False,96,Arrive By,Completed,1.0,5.44,1.09,125918
17912,637412,2022-01-14 20:30:00,2022-01-14 19:28:27,2022-01-14 19:53:27,2021-09-03 14:04:07,False,96,Ready By,Completed,4.0,5.44,1.09,125919
61383,637224,2022-01-13 13:30:00,2022-01-13 13:07:11,2022-01-13 13:36:40,2021-09-03 14:04:04,False,96,Arrive By,Completed,4.0,5.44,1.09,125922
61378,661245,2022-01-13 20:30:00,2022-01-13 20:50:47,2022-01-13 20:57:31,2021-10-31 16:06:25,False,96,Ready By,Completed,1.0,5.44,1.09,125923
17819,637411,2022-01-13 20:30:00,2022-01-13 20:37:06,2022-01-13 20:57:36,2021-09-03 14:04:07,False,96,Ready By,Completed,4.0,5.44,1.09,125925
17795,637223,2022-01-12 13:30:00,2022-01-12 13:08:40,2022-01-12 13:34:41,2021-09-03 14:04:04,False,96,Arrive By,Completed,4.0,5.44,1.09,125928
17787,637410,2022-01-12 20:30:00,2022-01-12 20:41:23,2022-01-12 20:57:27,2021-09-03 14:04:07,False,96,Ready By,Completed,4.0,5.44,1.09,125931
64851,688913,2022-01-03 17:00:00,2022-01-03 16:58:16,2022-01-03 17:12:48,2021-12-23 14:03:32,False,245,Ready By,Completed,2.4,11.07,1.11,127479
30522,688940,2022-01-03 17:15:00,2022-01-03 17:40:12,2022-01-03 17:40:34,2021-12-23 14:06:41,False,245,Ready By,No Show,4.0,11.07,1.11,127480
65895,688949,2022-01-03 19:30:00,2022-01-03 19:06:18,2022-01-03 19:26:17,2021-12-23 14:06:42,False,245,Ready By,Completed,4.0,11.07,1.11,127481
62108,683487,2022-01-03 10:00:00,2022-01-03 10:07:44,2022-01-03 10:38:50,2021-12-17 01:19:14,False,221,Ready By,Completed,15.6,15.29,2.29,128222
62098,685099,2022-01-03 18:20:00,2022-01-03 18:26:13,2022-01-03 18:57:48,2021-12-17 01:46:50,False,221,Ready By,Completed,14.3,11.76,1.76,128223
66754,687774,2022-01-03 12:25:00,2022-01-03 12:20:30,2022-01-03 12:20:55,2021-12-17 20:33:32,False,221,Ready By,Completed,11.5,11.76,1.76,128227
